Series_reference,Period,Data_value,Suppressed,STATUS,UNITS
ECTM.S1AG1210,2000.01,9.1,,C,Dollars
ECTM.S1AG1210,2000.02,9.5,,C,Dollars
ECTM.S1AG1210,2000.03,10,,C,Dollars
ECTM.S1AG1210,2000.04,9.2,,C,Dollars
ECTM.S1AG1210,2000.05,9.5,,C,Dollars
ECTM.S1AG1210,2000.06,9.4,,C,Dollars
ECTM.S1AG1210,2000.07,9.6,,C,Dollars
ECTM.S1AG1210,2000.08,10.4,,C,Dollars
ECTM.S1AG1210,2000.09,10.2,,C,Dollars
ECTM.S1AG1210,2000.1,10.6,,C,Dollars
ECTM.S1AG1210,2000.11,11.8,,C,Dollars
ECTM.S1AG1210,2000.12,15,,C,Dollars
ECTM.S1AG1210,2001.01,12,,C,Dollars
ECTM.S1AG1210,2001.02,11.9,,C,Dollars
ECTM.S1AG1210,2001.03,13,,C,Dollars
ECTM.S1AG1210,2001.04,12.6,,C,Dollars
ECTM.S1AG1210,2001.05,13.3,,C,Dollars
ECTM.S1AG1210,2001.06,13.1,,C,Dollars
ECTM.S1AG1210,2001.07,13.4,,C,Dollars
ECTM.S1AG1210,2001.08,589.5,,C,Dollars
ECTM.S1AG1210,2001.09,573,,C,Dollars
ECTM.S1AG1210,2001.1,608.4,,C,Dollars
ECTM.S1AG1210,2001.11,618.7,,C,Dollars
ECTM.S1AG1210,2001.12,699.1,,C,Dollars
ECTM.S1AG1210,2002.01,617.4,,C,Dollars
ECTM.S1AG1210,2002.02,575.3,,C,Dollars
ECTM.S1AG1210,2002.03,537.3,,C,Dollars
ECTM.S1AG1210,2002.04,607.7,,C,Dollars
ECTM.S1AG1210,2002.05,633.6,,C,Dollars
ECTM.S1AG1210,2002.06,606.6,,C,Dollars
ECTM.S1AG1210,2002.07,631.1,,C,Dollars
ECTM.S1AG1210,2002.08,21.3,,C,Dollars
ECTM.S1AG1210,2002.09,20.3,,C,Dollars
ECTM.S1AG1210,2002.1,672.9,,F,Dollars
ECTM.S1AG1210,2002.11,670.5,,F,Dollars
ECTM.S1AG1210,2002.12,764.2,,F,Dollars
ECTM.S1AG1210,2003.01,669.5,,F,Dollars
ECTM.S1AG1210,2003.02,625.2,,F,Dollars
ECTM.S1AG1210,2003.03,677,,F,Dollars
ECTM.S1AG1210,2003.04,655.2,,F,Dollars
ECTM.S1AG1210,2003.05,684.3,,F,Dollars
ECTM.S1AG1210,2003.06,643.5,,F,Dollars
ECTM.S1AG1210,2003.07,681.8,,F,Dollars
ECTM.S1AG1210,2003.08,699.8,,F,Dollars
ECTM.S1AG1210,2003.09,666.4,,F,Dollars
ECTM.S1AG1210,2003.1,728.1,,F,Dollars
ECTM.S1AG1210,2003.11,717.7,,F,Dollars
ECTM.S1AG1210,2003.12,824.2,,F,Dollars
ECTM.S1AG1210,2004.01,724.4,,F,Dollars
ECTM.S1AG1210,2004.02,684.1,,F,Dollars
ECTM.S1AG1210,2004.03,721.5,,F,Dollars
ECTM.S1AG1210,2004.04,707.4,,F,Dollars
ECTM.S1AG1210,2004.05,718.9,,F,Dollars
